"","x"
"351","TCGA-77-8133-01A"
"352","TCGA-77-8136-01A"
"353","TCGA-77-8138-01A"
"354","TCGA-77-8139-01A"
"355","TCGA-77-8140-01A"
"356","TCGA-77-8143-01A"
"357","TCGA-77-8144-01A"
"358","TCGA-77-8145-01A"
"359","TCGA-77-8146-01A"
"360","TCGA-77-8148-01A"
"361","TCGA-77-8150-01A"
"362","TCGA-77-8153-01A"
"363","TCGA-77-8154-01A"
"364","TCGA-77-8156-01A"
"365","TCGA-77-A5FZ-01A"
"366","TCGA-77-A5G1-01A"
"367","TCGA-77-A5G3-01A"
"368","TCGA-77-A5G6-01A"
"369","TCGA-77-A5G7-01B"
"370","TCGA-77-A5G8-01B"
"371","TCGA-77-A5GA-01A"
"372","TCGA-77-A5GB-01B"
"373","TCGA-77-A5GF-01A"
"374","TCGA-77-A5GH-01A"
"375","TCGA-79-5596-01A"
"376","TCGA-85-6175-01A"
"377","TCGA-85-6560-01A"
"378","TCGA-85-6561-01A"
"379","TCGA-85-6798-01A"
"380","TCGA-85-7696-01A"
"381","TCGA-85-7697-01A"
"382","TCGA-85-7698-01A"
"383","TCGA-85-7699-01A"
"384","TCGA-85-7710-01A"
"385","TCGA-85-7843-01A"
"386","TCGA-85-7844-01A"
"387","TCGA-85-7950-01A"
"388","TCGA-85-8048-01A"
"389","TCGA-85-8049-01A"
"390","TCGA-85-8052-01A"
"391","TCGA-85-8070-01A"
"392","TCGA-85-8071-01A"
"393","TCGA-85-8072-01A"
"394","TCGA-85-8276-01A"
"395","TCGA-85-8277-01A"
"396","TCGA-85-8287-01A"
"397","TCGA-85-8288-01A"
"398","TCGA-85-8350-01A"
"399","TCGA-85-8351-01A"
"400","TCGA-85-8352-01A"
"401","TCGA-85-8353-01A"
"402","TCGA-85-8354-01A"
"403","TCGA-85-8355-01A"
"404","TCGA-85-8479-01A"
"405","TCGA-85-8481-01A"
"406","TCGA-85-8580-01A"
"407","TCGA-85-8582-01A"
"408","TCGA-85-8584-01A"
"409","TCGA-85-8664-01A"
"410","TCGA-85-8666-01A"
"411","TCGA-85-A4CL-01A"
"412","TCGA-85-A4CN-01A"
"413","TCGA-85-A4JB-01A"
"414","TCGA-85-A4JC-01A"
"415","TCGA-85-A4PA-01A"
"416","TCGA-85-A4QQ-01A"
"417","TCGA-85-A4QR-01A"
"418","TCGA-85-A50M-01A"
"419","TCGA-85-A50Z-01A"
"420","TCGA-85-A510-01A"
"421","TCGA-85-A511-01A"
"422","TCGA-85-A512-01A"
"423","TCGA-85-A513-01A"
"424","TCGA-85-A53L-01A"
"425","TCGA-85-A5B5-01A"
"426","TCGA-90-6837-01A"
"427","TCGA-90-7766-01A"
"428","TCGA-90-7767-01A"
"429","TCGA-90-7769-01A"
"430","TCGA-90-7964-01A"
"431","TCGA-90-A4ED-01A"
"432","TCGA-90-A4EE-01A"
"433","TCGA-90-A59Q-01A"
"434","TCGA-92-7340-01A"
"435","TCGA-92-7341-01A"
"436","TCGA-92-8063-01A"
"437","TCGA-92-8064-01A"
"438","TCGA-92-8065-01A"
"439","TCGA-94-7033-01A"
"440","TCGA-94-7557-01A"
"441","TCGA-94-7943-01A"
"442","TCGA-94-8035-01A"
"443","TCGA-94-8490-01A"
"444","TCGA-94-8491-01A"
"445","TCGA-94-A4VJ-01A"
"446","TCGA-94-A5I4-01A"
"447","TCGA-94-A5I6-01A"
"448","TCGA-96-7544-01A"
"449","TCGA-96-7545-01A"
"450","TCGA-96-8169-01A"
"451","TCGA-96-8170-01A"
"452","TCGA-96-A4JK-01A"
"453","TCGA-96-A4JL-01A"
"454","TCGA-98-7454-01A"
"455","TCGA-98-8020-01A"
"456","TCGA-98-8021-01A"
"457","TCGA-98-8022-01A"
"458","TCGA-98-8023-01A"
"459","TCGA-98-A538-01A"
"460","TCGA-98-A539-01A"
"461","TCGA-98-A53A-01A"
"462","TCGA-98-A53B-01A"
"463","TCGA-98-A53C-01A"
"464","TCGA-98-A53D-01A"
"465","TCGA-98-A53H-01A"
"466","TCGA-98-A53I-01A"
"467","TCGA-98-A53J-01A"
"468","TCGA-J1-A4AH-01A"
"469","TCGA-L3-A4E7-01A"
"470","TCGA-L3-A524-01A"
"471","TCGA-LA-A446-01A"
"472","TCGA-LA-A7SW-01A"
"473","TCGA-MF-A522-01A"
"474","TCGA-NC-A5HD-01A"
"475","TCGA-NC-A5HE-01A"
"476","TCGA-NC-A5HF-01A"
"477","TCGA-NC-A5HG-01A"
"478","TCGA-NC-A5HH-01A"
"479","TCGA-NC-A5HI-01A"
"480","TCGA-NC-A5HJ-01A"
"481","TCGA-NC-A5HK-01A"
"482","TCGA-NC-A5HL-01A"
"483","TCGA-NC-A5HM-01A"
"484","TCGA-NC-A5HN-01A"
"485","TCGA-NC-A5HO-01A"
"486","TCGA-NC-A5HP-01A"
"487","TCGA-NC-A5HQ-01A"
"488","TCGA-NC-A5HR-01A"
"489","TCGA-NC-A5HT-01A"
"490","TCGA-NK-A5CR-01A"
"491","TCGA-NK-A5CT-01A"
"492","TCGA-NK-A5CX-01A"
"493","TCGA-NK-A5D1-01A"
"494","TCGA-NK-A7XE-01A"
"495","TCGA-O2-A52N-01A"
"496","TCGA-O2-A52Q-01A"
"497","TCGA-O2-A52S-01A"
"498","TCGA-O2-A52V-01A"
"499","TCGA-O2-A52W-01A"
"500","TCGA-O2-A5IB-01A"
"501","TCGA-XC-AA0X-01A"
