,gene_name,entrez_id
334,ATM,472
335,RERE,473
336,ATOH1,474
337,ATOX1,475
338,ATP1A1,476
339,ATP1A2,477
340,ATP1A3,478
341,ATP12A,479
342,ATP1A4,480
343,ATP1B1,481
344,ATP1B2,482
345,ATP1B3,483
346,FXYD2,486
347,ATP2A1,487
348,ATP2A2,488
349,ATP2A3,489
350,ATP2B1,490
351,ATP2B2,491
352,ATP2B3,492
353,ATP2B4,493
354,ATP4A,495
355,ATP4B,496
356,ATP5F1A,498
357,ALDH7A1,501
358,ATP5F1B,506
359,ATP5F1BP1,507
360,ATP5F1C,509
361,ATP5F1D,513
362,ATP5F1E,514
363,ATP5PB,515
364,ATP5MC1,516
365,ATP5MC2,517
366,ATP5MC3,518
367,ATP5ME,521
368,ATP5PF,522
369,ATP6V1A,523
370,ATP6V1B1,525
371,ATP6V1B2,526
372,ATP6V0C,527
373,ATP6V1C1,528
374,ATP6V1E1,529
375,ATP6V0B,533
376,ATP6V1G2,534
377,ATP6V0A1,535
378,ATP6AP1,537
379,ATP7A,538
380,ATP5PO,539
381,ATP7B,540
382,ALDH7A1P1,541
383,ALDH7A1P2,542
384,ATR,545
385,ATRX,546
386,KIF1A,547
387,AUH,549
388,AUP1,550
389,AVP,551
390,AVPR1A,552
391,AVPR1B,553
392,AVPR2,554
393,AXL,558
394,AZGP1,563
395,AZU1,566
396,B2M,567
397,BAAT,570
398,BAD,572
399,BAG1,573
400,ADGRB1,575
401,ADGRB2,576
402,ADGRB3,577
403,BAK1,578
404,NKX3-2,579
405,BARD1,580
406,BAX,581
407,BBS1,582
408,BBS2,583
409,BBS4,585
410,BCAT1,586
411,BCAT2,587
412,BCHE,590
413,BCKDHA,593
414,BCKDHB,594
415,CCND1,595
416,BCL2,596
417,BCL2A1,597
418,BCL2L1,598
419,BCL2L2,599
420,BCL3,602
421,BCL6,604
422,BCL7A,605
423,BCL9,607
424,TNFRSF17,608
425,HCN2,610
426,OPN1SW,611
427,BCR,613
428,BCS1L,617
429,BDH1,622
430,BDKRB1,623
431,BDKRB2,624
432,BDNF,627
433,CFB,629
434,BFSP1,631
435,BGLAP,632
436,BGN,633
437,CEACAM1,634
438,BHMT,635
439,BICD1,636
440,BID,637
441,BIK,638
442,PRDM1,639
443,BLK,640
444,BLM,641
445,BLMH,642
446,CXCR5,643
447,BLVRA,644
448,BLVRB,645
449,BNC1,646
450,BMI1,648
451,BMP1,649
452,BMP2,650
453,BMP3,651
454,BMP4,652
455,BMP5,653
456,BMP6,654
457,BMP7,655
458,BMP8B,656
459,BMPR1A,657
460,BMPR1B,658
461,BMPR2,659
462,BMX,660
463,POLR3D,661
464,BNIP1,662
465,BNIP2,663
466,BNIP3,664
467,BNIP3L,665
468,BOK,666
469,DST,667
470,FOXL2,668
471,BPGM,669
472,BPHL,670
473,BPI,671
474,BRCA1,672
475,BRAF,673
476,BRCA2,675
477,BRDT,676
478,ZFP36L1,677
479,ZFP36L2,678
480,BRS3,680
481,BSG,682
482,BST1,683
483,BST2,684
484,BTC,685
485,BTD,686
486,KLF9,687
487,KLF5,688
488,BTF3,689
489,BTG1,694
490,BTK,695
491,BTN1A1,696
492,BUB1,699
493,BUB1B,701
494,BYSL,705
495,TSPO,706
496,C1QBP,708
497,SERPING1,710
498,C1QA,712
499,C1QB,713
500,C1QC,714
501,C1R,715
502,C1S,716
503,C2,717
504,C3,718
505,C3AR1,719
506,C4A,720
507,C4B,721
508,C4BPA,722
509,C4BPB,725
510,CAPN5,726
511,C5,727
512,C5AR1,728
513,C6,729
514,C7,730
515,C8A,731
516,C8B,732
517,C8G,733
518,OSGIN2,734
519,C9,735
520,VPS51,738
521,MRPL49,740
522,ZNHIT2,741
523,MPPED2,744
524,MYRF,745
525,TMEM258,746
526,DAGLA,747
527,FMNL1,752
528,LDLRAD4,753
529,PTTG1IP,754
530,CFAP410,755
531,TMEM50B,757
532,MPPED1,758
533,CA1,759
534,CA2,760
535,CA3,761
536,CA4,762
537,CA5A,763
538,CA6,765
539,CA7,766
540,CA8,767
541,CA9,768
542,CA11,770
543,CA12,771
544,CACNA1A,773
545,CACNA1B,774
546,CACNA1D,776
547,CACNA1E,777
548,CACNA1F,778
549,CACNA1S,779
550,DDR1,780
551,CACNA2D1,781
552,CACNB1,782
553,CACNB2,783
554,CACNB3,784
555,CACNB4,785
556,CACNG1,786
557,SLC25A20,788
558,CAD,790
559,CALB1,793
560,CALB2,794
561,S100G,795
562,CALCA,796
563,CALCB,797
564,CALCR,799
565,CALD1,800
566,CALM1,801
567,CALM1P1,802
568,CALM2,805
569,CALM3,808
570,CALML3,810
571,CALR,811
572,CALU,813
573,CAMK4,814
574,CAMK2A,815
575,CAMK2B,816
576,CAMK2D,817
577,CAMK2G,818
578,CAMLG,819
579,CAMP,820
580,CANX,821
581,CAPG,822
582,CAPN1,823
583,CAPN2,824
584,CAPN3,825
585,CAPNS1,826
586,CAPN6,827
587,CAPS,828
588,CAPZA1,829
589,CAPZA2,830
590,CAST,831
591,CAPZB,832
592,CARS1,833
593,CASP1,834
594,CASP2,835
595,CASP3,836
596,CASP4,837
597,CASP5,838
598,CASP6,839
599,CASP7,840
600,CASP8,841
601,CASP9,842
602,CASP10,843
603,CASQ1,844
604,CASQ2,845
605,CASR,846
606,CAT,847
607,CAV1,857
608,CAV2,858
609,CAV3,859
610,RUNX2,860
611,RUNX1T1,862
612,CBFA2T3,863
613,RUNX3,864
614,CBFB,865
615,SERPINA6,866
616,CBL,867
617,CBLB,868
618,CBLN1,869
619,SERPINH1,871
620,CBR1,873
621,CBR3,874
622,CBS,875
623,CCIN,881
624,AL441992.3,883
625,CCK,885
626,CCKAR,886
627,CCKBR,887
628,KRIT1,889
629,CCNA2,890
630,CCNB1,891
631,CCNC,892
632,CCND2,894
